year,a,b,c,d,e,f,,,,,
1800,151,168,559,154,877,514,,,,,
1801,138,141,359,152,782,520,,,,,
1802,128,114,367,136,783,447,,,,,
1803,125,122,285,114,796,467,,,,,
1804,136,100,237,111,789,475,,,,,
1805,128,125,250,113,879,445,,,,,
1906,158,86,262,114,904,466,,,,,
8,141,87,236,96,1032,462,,,,,
9,183,97,223,96,996,460,,,,,
10,157,122,212,85,882,374,,,,,
2:30:00 AM,185,85,183,70,891,380,,,,,
2:45:00 AM,180,96,191,94,989,353,,,,,
3:00:00 AM,211,88,164,94,1016,352,,,,,
3:15:00 AM,202,86,149,77,863,278,,,,,
3:30:00 AM,228,87,138,79,753,281,,,,,
3:45:00 AM,277,70,152,60,841,280,,,,,
4:00:00 AM,284,91,199,67,851,220,,,,,
4:15:00 AM,210,70,154,74,752,189,,,,,
4:30:00 AM,279,86,167,88,597,185,,,,,
4:45:00 AM,359,147,205,89,649,179,,,,,
5:00:00 AM,312,121,219,82,724,226,,,,,
5:15:00 AM,200,111,258,98,580,220,,,,,
5:30:00 AM,301,127,312,200,552,263,,,,,
5:45:00 AM,154,129,233,148,507,225,,,,,
6:00:00 AM,177,185,218,208,508,220,,,,,
6:15:00 AM,200,176,322,145,550,292,,,,,
6:30:00 AM,266,230,511,145,700,346,,,,,
6:45:00 AM,218,225,458,115,771,461,,,,,
7:00:00 AM,238,399,546,158,728,506,,,,,
7:15:00 AM,357,328,470,214,963,648,,,,,
7:30:00 AM,353,425,645,184,1164,920,,,,,
7:45:00 AM,415,363,771,165,1268,959,,,,,
8:00:00 AM,471,394,790,150,1367,981,,,,,
8:15:00 AM,419,406,796,176,1629,1103,,,,,
8:30:00 AM,439,556,951,216,1791,1213,,,,,
8:45:00 AM,454,511,1015,232,1953,1436,,,,,
9:00:00 AM,546,494,1139,301,1882,1339,,,,,
9:15:00 AM,440,469,993,280,1984,1287,,,,,
9:30:00 AM,465,455,1128,314,2181,1353,,,,,
9:45:00 AM,490,398,1244,296,2239,1373,,,,,
10:00:00 AM,471,539,1236,330,2048,1280,,,,,
10:15:00 AM,481,457,1169,365,1926,1302,,,,,
10:30:00 AM,485,549,1160,422,1986,1211,,,,,
10:45:00 AM,453,480,1122,396,1943,1217,,,,,
11:00:00 AM,516,510,1200,341,1934,1100,,,,,
11:15:00 AM,477,521,1215,357,1978,1154,,,,,
11:30:00 AM,496,545,1135,338,2075,1216,,,,,
11:45:00 AM,495,518,1117,399,2029,1198,,,,,
12:00:00 PM,493,536,1127,392,2029,1118,,,,,
12:15:00 PM,480,583,1088,372,1900,1152,,,,,
12:30:00 PM,511,569,1077,423,2036,1199,,,,,
12:45:00 PM,459,547,1093,425,1932,1242,,,,,
1:00:00 PM,511,609,1100,483,1917,1154,,,,,
1:15:00 PM,503,601,1011,488,1812,1145,,,,,
1:30:00 PM,450,652,1068,450,1979,1175,,,,,
1:45:00 PM,478,723,1027,472,1932,1127,,,,,
2:00:00 PM,442,618,962,439,1912,1034,,,,,
2:15:00 PM,546,566,1084,528,1832,1048,,,,,
2:30:00 PM,512,596,1069,503,1844,1121,,,,,
2:45:00 PM,470,582,1049,516,1956,987,,,,,
3:00:00 PM,480,573,1186,515,1880,1070,,,,,
3:15:00 PM,566,511,1076,479,1887,1048,,,,,
3:30:00 PM,463,551,1049,386,1721,1039,,,,,
3:45:00 PM,434,533,1033,382,1896,938,,,,,
4:00:00 PM,418,525,1066,399,1793,956,,,,,
4:15:00 PM,397,493,1056,359,1727,1022,,,,,
4:30:00 PM,377,488,948,341,1689,971,,,,,
4:45:00 PM,332,443,983,357,1625,1010,,,,,
5:00:00 PM,417,482,906,359,1699,1100,,,,,
5:15:00 PM,383,503,972,330,1493,1044,,,,,
5:30:00 PM,346,457,901,357,1429,1045,,,,,
5:45:00 PM,363,412,933,301,1520,1014,,,,,
6:00:00 PM,299,409,820,291,1536,1067,,,,,
6:15:00 PM,288,351,848,243,1498,1121,,,,,
6:30:00 PM,328,333,685,315,1460,1108,,,,,
6:45:00 PM,324,345,695,231,1435,1074,,,,,
7:00:00 PM,273,338,683,216,1379,1068,,,,,
7:15:00 PM,276,355,682,229,1319,1126,,,,,
7:30:00 PM,266,334,610,226,1215,1045,,,,,
7:45:00 PM,263,294,603,205,1198,945,,,,,
8:00:00 PM,276,235,598,178,1104,919,,,,,
8:15:00 PM,262,246,564,179,1072,882,,,,,
8:30:00 PM,251,282,506,181,1078,822,,,,,
8:45:00 PM,222,287,451,165,974,772,,,,,
9:00:00 PM,220,343,473,173,971,748,,,,,
9:15:00 PM,216,277,397,178,900,696,,,,,
9:30:00 PM,191,278,378,165,847,725,,,,,
9:45:00 PM,181,279,378,157,938,680,,,,,
10:00:00 PM,186,246,433,135,858,769,,,,,
10:15:00 PM,166,210,431,163,866,681,,,,,
10:30:00 PM,130,200,388,136,852,705,,,,,
10:45:00 PM,157,181,379,111,941,665,,,,,
11:00:00 PM,189,186,458,141,960,781,,,,,
11:15:00 PM,138,158,371,161,1027,553,,,,,
11:30:00 PM,155,204,429,164,947,568,,,,,
11:45:00 PM,160,174,340,193,911,493,,,,,
